tasa_respuesta_anfitrion,tasa_aceptacion_anfitrion,total_anuncios_anfitrion,capacidad,banos,habitaciones,camas,precio,noches_minimas,noches_maximas,promedio_min_noches,promedio_max_noches,disponibilidad_30d,disponibilidad_60d,disponibilidad_90d,disponibilidad_365d,num_resenas,num_resenas_12m,num_resenas_30d,num_resenas_1y,ocupacion_estimada_365d,ingresos_estimados_365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,es_superanfitrion,anuncios_activos_anfitrion
93.87693771,87.65364246,2.0,1.0,1.0,1.0,1.0,29.0,4.0,40.0,4.0,40.0,5,35,65,340,33.0,0.0,0.0,0.0,0,0.0,4.58,4.72,4.56,4.75,4.82,4.21,4.67,0.0,2.0
93.87693771,87.65364246,6.0,2.0,1.0,1.0,1.0,135.0,5.0,50.0,5.1,50.0,2,32,62,337,172.0,0.0,0.0,0.0,0,17595.0,4.63,4.71,4.88,4.82,4.78,4.9,4.69,0.0,3.0
93.87693771,87.65364246,4.0,2.0,1.0,1.0,1.0,135.0,3.0,730.0,3.0,730.0,0,0,0,0,8.0,0.0,0.0,0.0,0,17595.0,4.38,4.14,4.38,4.63,4.63,4.88,4.25,0.0,1.0
93.87693771,87.65364246,6.0,2.0,1.0,1.0,1.0,135.0,5.0,50.0,5.0,50.0,17,47,77,352,49.0,0.0,0.0,0.0,0,17595.0,4.65,4.69,4.9,4.85,4.79,4.88,4.55,0.0,3.0
100.0,100.0,3.0,4.0,1.5,1.0,2.0,64.0,1.0,30.0,1.0,30.0,8,31,49,314,234.0,34.0,2.0,45.0,204,13056.0,4.65,4.78,4.44,4.8,4.86,4.97,4.59,0.0,3.0
100.0,100.0,2.0,2.0,1.0,1.0,1.0,86.0,7.0,365.0,7.0,365.0,5,5,5,5,63.0,2.0,1.0,0.0,28,2408.0,4.68,4.74,4.74,4.85,4.89,4.95,4.53,0.0,1.0
100.0,96.0,8.0,6.0,1.0,3.0,5.0,196.0,3.0,180.0,2.3,180.0,19,49,79,169,133.0,18.0,2.0,14.0,108,21168.0,4.63,4.64,4.43,4.87,4.85,4.84,4.48,1.0,5.0
93.87693771,87.65364246,2.0,2.0,1.0,1.0,1.0,143.5,3.0,365.0,3.0,365.0,0,0,0,0,105.0,0.0,0.0,0.0,0,14631.0,4.78,4.69,4.96,4.97,4.96,4.95,4.69,0.0,1.0
93.87693771,100.0,1.0,2.0,1.0,1.0,1.0,72.0,7.0,1125.0,7.0,1125.0,7,29,40,92,184.0,0.0,0.0,0.0,0,0.0,4.68,4.78,4.87,4.82,4.85,4.44,4.69,0.0,1.0
100.0,96.0,8.0,6.0,1.0,3.0,3.0,209.0,3.0,365.0,2.3,365.0,24,54,81,169,232.0,27.0,3.0,25.0,162,33858.0,4.83,4.81,4.65,4.88,4.92,4.92,4.68,1.0,5.0
